Flora_Botanical_Name,Flora_Name,Flora_AKA,Flora_Family,Flora_Origin,Flora_Geo_Range,Flora_Zones,Flora_Habitat,Flora_Media_1,Flora_Media_2,Flora_Height,Flora_Height Details,Flora_Image_1,Flora_Image_2,Flora_Image_3,Flora_Conservation_Status,Flora_Conservation_Status_SVGKey,Flora_Description,Flora_Fun_Facts,Flora_Ecological,Flora_Medicinal,Flora_Culinary,Flora_Cultural,Flora_Parts,Flora_Button_Media,Flora_Flowering_Key,Flora_Type_Key,Flora_HoHLocation,Flora_Quiz_Question,Flora_Quiz_OptionA,Flora_Quiz_OptionB,Flora_Quiz_OptionC,Flora_Quiz_OptionD,Flora_Quiz_Correct
Adansonia digitata,Baobab,"Monkey-bread Tree, Gorakhchinch",Malvaceae,Introduced,"Native to mainland Africa, particularly across the savannas of sub-Saharan regions, the Baobab grows in West, East and Southern Africa, including Sudan, Senegal, Tanzania, Kenya, Botswana and South Africa. The species has been introduced and naturalized in India, Sri Lanka and parts of Southeast Asia, where it grows well in dry tropical conditions. ","Sudan, Senegal, Tanzania, Kenya, Botswana, South_Africa, India, Sri_Lanka, SubSaharan_Africa, West_Africa, East_Africa, Southern_Africa, Southeast_Asia","It thrives in semi-arid to sub-humid climates, preferring well-drained sandy or loamy soils and tolerating extreme drought. Because of its resilience and ecological benefits, it is often planted in villages, near water sources and in agricultural landscapes.",Animations\Flora\Single Plants\Adansonia_digitata.mp4,Images\Illustrations\Trees\Adansonia_digitata.webp,10 - 14 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Adansonia_digitata_01.webp,Images\Flora\Adansonia_digitata_02.webp,Images\Flora\Adansonia_digitata_03.webp,Least Concern,LC,"Commonly known as the African Baobab, Tree of Life or Upside-Down Tree, the Baobab is one of the most iconic trees of the African landscape, notable for its enormous, bottle-shaped trunk, which can reach up to 25 meters in girth and 20 to 30 meters in height. The tree's branches spread out like roots, giving it the famous ""upside-down"" appearance.","Some Baobab trees are estimated to be over 2,000 years old, making them among the oldest living trees on Earth. Infact, their hollow trunks were sometimes used as homes, storage rooms, prisons or even chapels in African villages.","The Baobab is often called the ""Tree of Life"" because it can store up to 120,000 liters of water in its trunk during the rainy season, which helps it survive severe droughts. It plays a vital ecological role, providing food and shelter for birds, bats, insects and mammals, while also enriching the soil with organic matter from its fallen leaves. It is also regarded as an indicator species for ecosystem health and an important ally in climate adaptation efforts.","Every part of Baobab, bark, leaves, pulp, seeds and roots is used in traditional African and Ayurvedic medicine. The fruit pulp is rich in vitamin C, calcium and antioxidants, used to treat fevers, diarrhea and scurvy. Leaf extracts are used for anti-inflammatory, analgesic and antimicrobial purposes. The bark and roots are used to make tonics and poultices for treating malaria, toothache and gastrointestinal issues. The seed oil has emollient properties and is applied to the skin for moisturizing and wound healing.","The Baobab is a traditional food plant in Africa. The fruit pulp is eaten raw or mixed into drinks, porridges and sauces, known for its tangy, citrus-like flavor. The seeds can be roasted as snacks or ground to produce baobab seed oil, used in cooking and cosmetics. Young leaves are cooked as vegetables or dried into powder for soups and sauces. In many African cultures, the fruit pulp is used to make traditional energy drinks and fermented beverages.","The Baobab holds deep cultural and spiritual importance in African traditions. It is often considered sacred, symbolizing life, wisdom and strength. In many African communities, it serves as a meeting place, with gatherings, rituals and storytelling sessions held under its shade. In regions of India, where it was introduced centuries ago, it is often found near temples and heritage sites, symbolizing longevity and resilience.","Bark: Thick and fibrous, forming massive hollow trunks that are sometimes used by people as shelters, storage spaces or places of gathering.

Leaves: Palmately compound leaves, meaning several leaflets (usually five to seven) spread out from a single point. The leaves are shed during the dry season to reduce water loss.

Flowers & Fruit: Large, white, hanging flowers bloom for just one night and release a strong musky smell to attract bats and other nocturnal pollinators. The fruits are large, woody pods containing many seeds surrounded by dry, tangy, vitamin-rich pulp.
",Animations\Flora\Buttons\Adansonia_digitata.webp,Yes,Deciduous,Tennis Court Garden,Why do Baobab flowers bloom only at night?,To avoid daytime heat,To attract birds,To attract bats,To conserve nutrients,C
Adenanthera pavonina,Red Bead Tree,"Thorali goonj, Ratangunj, Manjadi",Mimosaceae,Native,"Native to Southeast Asia and the Indian subcontinent, Red Bead Tree is now widely distributed throughout tropical regions worldwide, including Africa, the Caribbean, South America and the Pacific Islands. ","India, Southeast_Asia, South_Asia, SubSaharan_Africa, Caribbean, South_America, Papua_NG","It prefers warm, humid climates and grows well from sea level up to 1,000 m elevation. The species has been extensively planted for ornamental purposes and as a shade tree due to its aesthetic appeal and tolerance to various soil types.",Animations\Flora\Single Plants\Adenanthera_pavonina.mp4,Images\Illustrations\Trees\Adenanthera_pavonina.webp,15 - 18 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Adenanthera_pavonina_01.webp,Images\Flora\Adenanthera_pavonina_02.webp,Images\Flora\Adenanthera_pavonina_03.webp,Least Concern,LC,"Red Bead Tree is a medium-sized deciduous tree that grows about 6 - 15 meters tall. It has a spreading crown and smooth grey bark that becomes rough with age. The leaves are bipinnate, meaning they are divided into many small oval leaflets, giving a feathery look. Small creamy-yellow flowers grow in clusters and later form twisted dark pods with bright red seeds.",The bright red seeds of the Red Bead Tree were once used as standard weights for gold and gemstones because each seed weighs almost exactly the same.,"Red Bead Tree is nitrogen-fixing, which means it naturally improves soil fertility and supports ecosystem health. It also provides shade and shelter for birds and insects.",Red Bead Tree leaves are used on wounds and skin infections. Bark and roots help relieve joint pain and digestive problems. Seeds are used in folk remedies for inflammation.,"The Red Bead Tree seeds are sometimes roasted and eaten after proper cooking, as raw seeds can be mildly toxic. The tree is also used for fodder and fuelwood.",The Red Bead Tree tree is considered auspicious in parts of India and Southeast Asia. Its red seeds symbolize love and prosperity and are used in ornaments and crafts.,"Bark: Smooth and greyish when young, becoming rough with age.

Leaves: Bipinnate leaves with many small oval leaflets forming a light canopy.

Flowers & Fruit: Small creamy-yellow flowers form clusters; fruits are twisted pods with bright red seeds.",Animations\Flora\Buttons\Adenanthera_pavonina.webp,Yes,Deciduous,Paramount,Why are Red Bead Tree seeds historically important?,Are edible raw,Were used as fertilizers,Were used as standard weights,Attract pollinating bats,C
Aegle marmelos,Wood Apple,"Bel, Bael",Rutaceae,Native,"Wood Apple or Bel is native to India and is widely distributed across the Indian subcontinent, including Bangladesh, Nepal, Sri Lanka and Myanmar. It also grows naturally in parts of Southeast Asia and has been introduced to Indonesia, Thailand and the Philippines. ","India, Bangladesh, Nepal, Sri_Lanka, Myanmar, Indonesia, Thailand, Philippines, South_Asia, Southeast_Asia","The tree adapts well to semi-arid and tropical regions and is often cultivated in home gardens, temple premises and rural landscapes for its multiple uses.",Animations\Flora\Single Plants\Aegle_marmelos.mp4,Images\Illustrations\Trees\Aegle_marmelos.webp,upto 13 m,"In ideal conditions, mature trees can reach up to 15 meters.",Images\Flora\Aegle_marmelos_01.webp,Images\Flora\Aegle_marmelos_02.webp,,Least Concern,LC,"Wood Apple or Bel is a medium-sized deciduous tree growing up to 10 - 15 meters tall. It is easily recognized by its trifoliate leaves, meaning each leaf has three leaflets, fragrant greenish-white flowers and hard, woody fruits. The round to oval fruits have a very tough shell and contain aromatic orange-yellow pulp with many seeds in sticky mucilage. The tree thrives in hot, dry climates and is valued for its medicinal, nutritional and religious importance.",Wood Apple or Bel fruit has such a hard shell that it often needs to be cracked open with a stone or hammer.,"Wood Apple or Bel provides shade, nectar for pollinators and food for wildlife. Its strong roots help bind soil and its ability to survive drought makes it useful for dry-area planting.","In Ayurveda, nearly all parts of the Wood Apple or Bel tree are used. Ripe fruit cools the body and aids digestion, while unripe fruit helps control diarrhea. Leaves are used for diabetes, fever and heart-related ailments.","The ripe Wood Apple or Bel fruit pulp is used to make sherbets, jams, sweets and a popular cooling summer drink.",Wood Apple or Bel is sacred in Hinduism and closely associated with Lord Shiva. Its trifoliate leaves symbolize the Hindu trinity and are commonly used in temple rituals.,"Bark: Not specifically described, but forms part of traditional medicinal use.

Leaves: Trifoliate leaves with religious and medicinal importance.

Flowers & Fruit: Fragrant greenish-white flowers; hard-shelled fruits with aromatic pulp.",Animations\Flora\Buttons\Aegle_marmelos.webp,Yes,Evergreen,Astra,Why is the Bael or Wood Apple tree considered sacred?,Fruit is eaten raw,Leaves offereed to Lord Shiva,Grows only near temples,Wood is used for idols,B
Amrhestia nobilis,Orchid Tree,"Pride of Burma, Urvashi",Fabaceae,Introduced,"The Orchid Tree is native to Myanmar (Burma), where it was first discovered and described in the early 19th century. Though originally rare and localized, it has since been cultivated across tropical regions for its ornamental value in India, Sri Lanka, Thailand, Malaysia, Indonesia, the Caribbean and parts of Central and South America.","Myanmar, India, Sri_Lanka, Thailand, Malaysia, Indonesia, Caribbean, Central_America, South_America","It thrives in warm, humid climates and well-drained, fertile soils, preferring semi-shaded environments. The species is sensitive to drought and frost, making it most successful in botanical gardens and tropical estates rather than wild habitats. In its native range, true wild populations are considered extremely rare or possibly extinct.",Animations\Flora\Single Plants\Amrhestia_nobilis.mp4,Images\Illustrations\Trees\Amrhestia_nobilis.webp,10 - 15 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Amrhestia_nobilis_01.webp,Images\Flora\Amrhestia_nobilis_02.webp,Images\Flora\Amrhestia_nobilis_03.webp,Vulnerable,VU,"The Orchid Tree is a rare, evergreen tropical tree growing about 10 - 15 meters tall, with a broad crown and drooping branches. It is famous for its spectacular crimson to magenta flowers that hang in long clusters. The large, unevenly shaped flowers have bright red petals with yellow markings. Its compound leaves have several paired leaflets that emerge bronze-red and turn green as they mature.","Orchid Tree is often called the ""Queen of Flowering Trees"" because of its extraordinary beauty and rarity. The tree was named in honor of Lady Sarah Amherst, a British botanist and plant collector and her husband William Pitt Amherst, a former Governor-General of India. There are only two such trees in the Thane region! ","The Orchid Tree flowers provide nectar for birds, bees and butterflies, supporting biodiversity in cultivated landscapes. Conservationists emphasize the importance of preserving genetic stock of Orchid Tree, as wild populations are extremely limited and the species is considered vulnerable in its native habitat.",There are no well-documented traditional medicinal uses for the Orchid Tree. Scientific research on its medicinal properties is limited due to its rarity.,There are no known culinary uses for the Orchid Tree.,"In Myanmar, where it originates, the Orchid Tree symbolizes grace and nobility and is planted in temple gardens and heritage spaces. It is highly valued by horticulturists for its ornamental beauty.","Leaves: Compound leaves with paired leaflets that change from bronze-red to green.

Flowers & Fruit: Large, hanging crimson flowers in long clusters.",Animations\Flora\Buttons\Amrhestia_nobilis.webp,Yes,Evergreen,Rodas Podium,Why is the Orchid Tree called the  Queen of Flowering Trees ?,It grows very fast,It has medicinal value,It has an striking floral display,It produces edible fruits,C
Anthocephalus kadamba,Kadamba,"Burflower Tree, Laran, Leichhardt Pine",Rubiaceae,Native,"Native to South and Southeast Asia, Kadamba grows naturally in India, Nepal, Bangladesh, Sri Lanka, Myanmar, Thailand, Vietnam, Malaysia, Indonesia and the Philippines. In India, it is commonly found in the Western Ghats, Gangetic plains and northeastern states. It has been widely cultivated throughout tropical regions of Africa, Central America and the Pacific Islands for its timber, shade and ornamental value.","India, Nepal, Bangladesh, Sri_Lanka, Myanmar, Thailand, Vietnam, Malaysia, Indonesia, Philippines, South_Asia, Southeast_Asia, SubSaharan_Africa, Central_America","The tree prefers deep, well-drained alluvial soils and a warm, humid climate, often growing near riverbanks and forest edges. It thrives in moist deciduous and evergreen forests up to 1,500 m elevation.",Animations\Flora\Single Plants\Anthocephalus_kadamba.mp4,Images\Illustrations\Trees\Anthocephalus_kadamba.webp,upto 45 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Anthocephalus_kadamba_01.webp,Images\Flora\Anthocephalus_kadamba_02.webp,Images\Flora\Anthocephalus_kadamba_03.webp,Least Concern,LC,"Kadamba is a large, fast-growing deciduous tree that can reach up to 45 meters in height. It has a straight trunk, smooth grey bark and a wide, shady crown. The leaves are large, glossy and broadly oval. The tree is best known for its bright orange-yellow, round, fragrant flowers that appear during the monsoon and resemble soft pom-poms. Small fleshy fruits containing many tiny seeds develop after flowering.",Kadamba flowering is traditionally seen as a natural signal for the arrival of the monsoon rains in India.,"The Kadamba flowers attract bees, butterflies and birds. Its fast growth makes it valuable for reforestation, shade, carbon storage and soil conservation.","Used in Ayurveda and folk medicine, the Kadamba bark helps reduce fever and inflammation. Leaves and roots aid wound healing, while flowers are used for cooling and relaxation. Studies show antioxidant and antimicrobial properties.",The Kadamba fruit pulp is edible and occasionally eaten by rural communities. Flowers are sometimes used in traditional sweets or as natural fragrance.,"Sacred in Hindu and Buddhist traditions, Kadamba is linked to Lord Krishna and celebrated in festivals as a symbol of love, fertility and prosperity.","Bark: Smooth and grey, used medicinally.

Leaves: Large, glossy and broadly oval, forming dense shade.

Flowers & Fruit: Spherical orange-yellow flowers; small fleshy fruits with many seeds.",Animations\Flora\Buttons\Anthocephalus_kadamba.webp,Yes,Evergreen,Apollo,Why is the Kadamba tree important ecologically?,It grows only in forests,It supports pollinators ,It produces edible wood,It flowers all year round,B
Artocarpus altilis,Breadfruit,Neer Phanas,Moraceae,Introduced,"Breadfruit is native to New Guinea, the Philippines and the Indo-Malayan region, but it has been widely cultivated throughout the Pacific Islands, Southeast Asia, the Caribbean, Central America and tropical Africa. ","Papua_NG, Philippines, South_Asia, Southern_China, Indonesia, Philippines, Southeast_Asia, Caribbean, Central_America, SubSaharan_Africa","This tree thrives in warm, humid climates and grows best in lowland tropical areas with abundant rainfall.",Animations\Flora\Single Plants\Artocarpus_altilis.mp4,Images\Illustrations\Trees\Artocarpus_altilis.webp,15 - 20 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Artocarpus_altilis_01.webp,Images\Flora\Artocarpus_altilis_02.webp,Images\Flora\Artocarpus_altilis_03.webp,Least Concern,LC,"Breadfruit is a highly productive tropical tree grown mainly for its large, starchy fruits. It is widely cultivated across the tropics as an important food crop and multipurpose tree. The unripe fruit is rich in starch and forms a staple food, while the tree itself is valued for its easy cultivation and role in agroforestry systems that support long-term food security and environmental health.","Cooked unripe Breadfruit tastes and feels like freshly baked bread, which is how the tree got its name. A single tree can produce 150 - 200 fruits annually, making it one of the most productive food plants per hectare in the world.","Breadfruit trees provide shade, reduce soil erosion, improve microclimates and support biodiversity. They are promoted as climate-resilient crops due to high yield and low maintenance capable of addressing food security in tropical regions.
","The latex from the Breadfruit tree is used to treat skin ailments, fungal infections and minor wounds. Leaves may be used in herbal preparations for hypertension and inflammation. The bark and roots have been used in folk medicine for digestive support, pain relief and general wellness. Rich in fiber, vitamins and minerals, making it a beneficial food for maintaining gut health and boosting immunity.
","The fruit is a major starchy food source, often compared to potatoes. It can be boiled, baked, roasted, fried, steamed or mashed. When unripe, it is used as a vegetable, when ripe, it becomes sweeter and can be used in desserts. Seeds (in seeded varieties) are edible after roasting or boiling.","Highly valued in Polynesian and Pacific cultures, where the tree symbolizes life, abundance and community. The famous HMS Bounty voyage was commissioned to transport Breadfruit from the Pacific to the Caribbean as a food source for plantations. Breadfruit wood is lightweight and resistant to termites, traditionally used in canoe building.","Bark: Used in folk medicine and for general wellness remedies.

Leaves: Large leaves help reduce erosion and are used in herbal preparations.

Flowers & Fruit: Large starchy fruits; edible seeds in some varieties.",Animations\Flora\Buttons\Artocarpus_altilis.webp,Yes,Evergreen,Kavesar Garden,Why is Breadfruit considered important for food security?,Grows only in forests,Produces fruit only once,Yields large amounts of fruit,Used for decoration,C
Barringtonia asiatica,Sea Poison Tree,Samudrafal,Lecythidaceae,Native,"This tree is seen across tropical coastal regions of the Indian Ocean and western Pacific Ocean. Its natural range includes India, Sri Lanka, Southeast Asia, northern Australia, Pacific Islands, Taiwan and coastal China. ","India, Sri_Lanka, Southeast_Asia, Northern_Australia, Papua_NG, Taiwan, Coastal_China","This tree typically grows in sandy beaches, mangrove margins and coastal forests, thriving in saline, alkaline and highly humid environments.",Animations\Flora\Single Plants\Barringtonia_asiatica.mp4,Images\Illustrations\Trees\Barringtonia_asiatica.webp,7 - 25 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Barringtonia_asiatica_01.webp,Images\Flora\Barringtonia_asiatica_02.webp,Images\Flora\Barringtonia_asiatica_03.webp,Least Concern,LC,"Sea Poison Tree is a medium-sized evergreen coastal tree growing about 7 - 25 meters tall, with a straight trunk and a dense, rounded crown. It has large, glossy leaves arranged in rosettes at the ends of branches. The tree bears striking white to pink flowers with long, thread-like stamens that give a powder-puff appearance. These fragrant flowers bloom at night. The fruits are distinctive, box-shaped, buoyant and adapted for dispersal by ocean currents.","The name ""Fish Poison Tree"" comes from the traditional practice of crushing its seeds to release saponins, natural compounds that temporarily stun fish without poisoning the water. Its box-shaped fruits can float for months, allowing the tree to spread across oceans.","Sea Poison Tree helps stabilize sandy shorelines and prevent coastal erosion. Its night-blooming flowers attract bats and moths, while bees and other insects also benefit. The tree's tolerance to salt spray and storm surges makes it important for climate-resilient coastal ecosystems.","The bark, leaves and seeds contain saponins used traditionally for anti-inflammatory and pain-relief remedies. They are also applied to treat skin diseases, wounds, fever and digestive discomfort. Seed extracts are being studied for antimicrobial and anti-cancer properties.",The tree is not used for general consumption due to toxic saponins. Seeds were traditionally used as fish poison and are unsafe to eat without expert detoxification.,"The tree is culturally important in many Pacific societies, where it is used in traditional medicine, rituals and planted as a coastal ornamental for its beauty and resilience.","Bark: Used in traditional remedies for fever, inflammation and pain relief.

Leaves: Large and glossy; used in medicinal decoctions and help protect coastal soil.

Flowers & Fruit: Night-blooming, fragrant flowers with long stamens; floating, box-shaped fruits adapted for ocean dispersal.",Animations\Flora\Buttons\Barringtonia_asiatica.webp,Yes,Evergreen,Kavesar Garden,Why are the fruits of the Sea Poison Tree able to spread across oceans?,They are carried by birds,They dissolve in seawater,They are buoyant and float,They are buried by tides,C
Bauhinia blackiana,Hong Kong Orchid Tree,"Rakta Kanchan, Kanchan",Fabaceae,Introduced,"Originally discovered in Hong Kong in the 19th century, Bauhinia blakeana is believed to have arisen as a natural hybrid, possilby between Bauhinia purpurea and Bauhinia variegata. Today, it is cultivated widely in tropical and subtropical regions, including Southern China and Hong Kong, India and Southeast Asia, Australia, parts of Africa and the warmer regions of the Americas

","Hong_Kong, Southern_China, India, Southeast_Asia, Australia, SubSaharan_Africa, Central_America, South_America","The Hong Kong Orchid tree thrives in warm climates with moderate rainfall and is commonly planted along roadsides, gardens and parks.",Animations\Flora\Single Plants\Bauhinia_blackiana.mp4,Images\Illustrations\Trees\Bauhinia_blackiana.webp,15 - 20 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Bauhinia_blackiana_01.webp,Images\Flora\Bauhinia_blackiana_02.webp,Images\Flora\Bauhinia_blackiana_03.webp,Not Evaluated,NE,"Hong Kong Orchid Tree is an evergreen ornamental tree growing about 6 - 12 meters tall, with a spreading, umbrella-shaped crown. It is admired for its large orchid-like flowers, 10 - 15 cm wide, in shades of rose-purple, magenta and crimson. Notably, this tree is sterile and does not produce seeds, propagating mainly through cuttings.","The flower of the Hong Kong Orchid Tree is the official emblem of Hong Kong and appears on its flag, coins and government logos.","Widely planted in cities, the Hong Kong Orchid tree provides shade, attracts bees and butterflies and helps improve urban microclimates by reducing heat and adding greenery.","As a sterile hybrid, Hong Kong Orchid has limited traditional medicinal use. Some communities use leaf extracts for mild anti-inflammatory and antimicrobial purposes, based on practices from related species.",There are no common culinary uses. Edible applications seen in related Bauhinia species do not generally apply to this tree.,"The tree symbolizes identity, unity and pride in Hong Kong and is widely planted as a prestigious ornamental in public landscapes.","Leaves: The leaves are bilobed, shaped like a camel's footprint and sometimes used in mild herbal preparations.

Flowers & Fruit: Large, showy orchid-like flowers; no fruit or seeds due to sterility.",Animations\Flora\Buttons\Bauhinia_blackiana.webp,Yes,Evergreen,Bayer Roadside,Why does the Hong Kong Orchid Tree not produce seeds?,It flowers only once a year,It grows only in cities,It is sterile and a hybrid,Its flowers are too large,C
Bombax ceiba,Silk Cotton Tree,"Sawar, Shalmali, Katesavar",Bombacaceae,Native,"The Silk Cotton tree grows naturally across South and Southeast Asia, including India, Nepal, Myanmar, Thailand, Vietnam, Malaysia, Indonesia, southern China and Taiwan. It is also found in eastern Pakistan and has been naturalized in parts of Australia.

","India, Nepal, Myanmar, Thailand, Vietnam, Malaysia, Indonesia, Southern_China, Taiwan, Pakistan, Northern_Australia, South_Asia, Southeast_Asia","This tree thrives in tropical and subtropical regions, often growing along roadsides, in parks and in moist deciduous forests.",Animations\Flora\Single Plants\Bombax_ceiba.mp4,Images\Illustrations\Trees\Bombax_ceiba.webp,25 - 40 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Bombax_ceiba_01.webp,Images\Flora\Bombax_ceiba_02.webp,Images\Flora\Bombax_ceiba_03.webp,Least Concern,LC,"Silk Cotton Tree is a large deciduous tree that usually grows up to 20 meters tall, but in ideal tropical conditions can reach as much as 60 meters. One of its most striking features is that it sheds all its leaves before flowering, revealing bright red, cup-shaped flowers in spring. The fruits contain seeds surrounded by soft, white, cotton-like fibres. Despite its size, the wood is light and soft, making it useful for items like rafts and matchsticks rather than heavy construction.","When the tree flowers without leaves, it forms a brilliant scarlet canopy, making it one of the most visually dramatic trees of the dry season.","The Silk Cotton Tree flowers attract birds, bees and insects, supporting pollinators. Fallen flowers and cotton fibres add organic matter to the soil, enriching it naturally.","In traditional medicine, the bark, roots and flowers of the Silk Cotton Tree are used for their cooling, anti-inflammatory and astringent properties. They are used to treat diarrhea, skin diseases, wounds and are considered aphrodisiac in Ayurveda.","Dried Silk Cotton Tree flowers are cooked in Myanmar and used in traditional dishes. In Thailand, dried flower cores are used in soups and curries. In India, young flower buds were historically eaten as a vegetable, while in southern China dried flowers are brewed into tea or soup for their cooling effect.","The Silk Cotton Tree is the official flower of Guangzhou, symbolizing strength and heroism. Its red blossoms mark seasonal change and feature in festivals. The cotton-like fibres are traditionally used to stuff pillows and mattresses. According to ancient Chinese records, the King of Nam Yuet gifted a Bombax ceiba tree to the Han Dynasty emperor in the 2nd century BC, highlighting its long historical presence in East Asia. ","Bark: Used medicinally for its cooling and healing properties. Young trunks and branches are covered with sharp, conical spines that wear away as the tree ages. 

Leaves: The leaves are palmate, meaning several leaflets spread out from a single point like fingers of a hand. These are shed before flowering.

Flowers & Fruit: Bright red flowers bloom on leafless branches; fruits release cotton-like fibres around the seeds.",Animations\Flora\Buttons\Bombax_ceiba.webp,Yes,Deciduous,Behind Lake Sector opposite Glenridge,Why does the Silk Cotton Tree appear especially striking during flowering?,Blooms in winter,Blooms at night,Sheds leaves and flowers,Small flowers,C
Bridelia retusa,Spinous Kino Tree,"Asana, Ekaveera",Phyllanthacea,Native,"This tree is native to South and Southeast Asia. It is found throughout India, Sri Lanka, Nepal, Bangladesh, Myanmar, Thailand and Malaysia. In India, it grows naturally in the Himalayan foothills, Western and Eastern Ghats and Central and Southern forests. 

","India, Sri_Lanka, Nepal, Bangladesh, Myanmar, Thailand, Malaysia, South_Asia, Southeast_Asia","This tree prefers well-drained rocky or sandy soils and is often seen along forest margins, riverbanks and roadsides. The species is hardy and drought-resistant, making it well adapted to tropical and subtropical climates. It thrives in dry deciduous and mixed forests up to an altitude of 1,200 m.",Animations\Flora\Single Plants\Bridelia_retusa.mp4,Images\Illustrations\Trees\Bridelia_retusa.webp,20 m,Based on typical growth documented  in natural conditions across multiple regions.,Images\Flora\Bridelia_retusa_01.webp,Images\Flora\Bridelia_retusa_02.webp,Images\Flora\Bridelia_retusa_03.webp,Least Concern,LC,"Spinous Kino Tree is a small to medium-sized deciduous tree growing about 6 - 15 meters tall, with a short trunk and an irregular, spreading crown. Leaves are simple, glossy green above and pale beneath. Small yellowish-green flowers appear in clusters, followed by round fruits that turn black or purple when ripe. The wood is strong and durable, making it useful for tools and fuelwood.","The name 'retusa' refers to the slightly notched tips of its leaves, a small detail that helps identify the tree.","The dark fruits of the Spinous Kino Tree attract birds and small mammals, aiding natural seed dispersal. The tree stabilizes soil on dry slopes and riverbanks and regenerates well from stumps, making it useful for forest restoration.","Highly valued in traditional medicine, the Spinous Kino Tree bark is used for diarrhea, ulcers and skin diseases. Leaves are applied to wounds and inflammation, roots for fever and fruits for urinary disorders. High tannin content adds to its healing properties.","Ripe fruits are edible, mildly sweet to astringent and occasionally used locally in chutneys or fermented drinks.",The reddish bark gum is used in leather tanning and fabric dyeing. The tree also hosts lac insects and is sometimes planted near homes or temples for shade and protection.,"Bark: The bark is dark grey to brown, rough and fissured and releases a reddish gum when cut. Young branches may bear sharp spines. Bark is tannin-rich, producing reddish kino used medicinally and industrially.

Leaves: Simple, glossy, with notched tips; used in external treatments.

Flowers & Fruit: Small yellowish-green flowers; dark ripe fruits eaten by wildlife and people.",Animations\Flora\Buttons\Bridelia_retusa.webp,Yes,Evergreen,Kavesar Garden,Why was the bark gum of the Spinous Kino Tree traditionally valued?,For dyes and tanning,For edible oil,As a spice,For carving ornaments,A
